timestamp,hashtag,tweet_count,avg_sentiment
2020-02-27 06:00:00,#corona,111,-0.267
2020-02-27 06:00:00,#covid19,91,-0.116
2020-02-27 06:00:00,#wuhan,50,-0.625
2020-02-27 06:00:00,#pandemic,38,-0.215
2020-02-27 06:00:00,#stayhome,33,0.071
2020-02-27 06:30:00,#corona,118,-0.134
2020-02-27 06:30:00,#covid19,99,-0.187
2020-02-27 06:30:00,#wuhan,48,-0.552
2020-02-27 06:30:00,#pandemic,40,-0.01
2020-02-27 06:30:00,#stayhome,38,0.031
2020-02-27 07:00:00,#corona,124,-0.395
2020-02-27 07:00:00,#covid19,97,-0.141
2020-02-27 07:00:00,#wuhan,60,-0.436
2020-02-27 07:00:00,#pandemic,42,-0.148
2020-02-27 07:00:00,#stayhome,45,-0.15
2020-02-27 07:30:00,#corona,128,-0.401
2020-02-27 07:30:00,#covid19,86,-0.273
2020-02-27 07:30:00,#wuhan,51,-0.269
2020-02-27 07:30:00,#pandemic,45,-0.338
2020-02-27 07:30:00,#stayhome,47,-0.13
2020-02-27 08:00:00,#corona,127,-0.279
2020-02-27 08:00:00,#covid19,104,-0.102
2020-02-27 08:00:00,#wuhan,62,-0.348
2020-02-27 08:00:00,#pandemic,46,-0.118
2020-02-27 08:00:00,#stayhome,40,-0.079
2020-02-27 08:30:00,#corona,126,-0.2
2020-02-27 08:30:00,#covid19,104,0.08
2020-02-27 08:30:00,#wuhan,54,-0.565
2020-02-27 08:30:00,#pandemic,47,0.005
2020-02-27 08:30:00,#stayhome,48,0.2
2020-02-27 09:00:00,#corona,138,-0.259
2020-02-27 09:00:00,#covid19,97,-0.264
2020-02-27 09:00:00,#wuhan,65,-0.617
2020-02-27 09:00:00,#pandemic,43,-0.147
2020-02-27 09:00:00,#stayhome,44,0.18
2020-02-27 09:30:00,#corona,132,-0.018
2020-02-27 09:30:00,#covid19,109,-0.273
2020-02-27 09:30:00,#wuhan,56,-0.525
2020-02-27 09:30:00,#pandemic,48,-0.254
2020-02-27 09:30:00,#stayhome,45,0.185
2020-02-27 10:00:00,#corona,123,-0.279
2020-02-27 10:00:00,#covid19,93,-0.33
2020-02-27 10:00:00,#wuhan,55,-0.338
2020-02-27 10:00:00,#pandemic,49,-0.182
2020-02-27 10:00:00,#stayhome,46,0.08
2020-02-27 10:30:00,#corona,131,-0.161
2020-02-27 10:30:00,#covid19,103,-0.321
2020-02-27 10:30:00,#wuhan,62,-0.343
2020-02-27 10:30:00,#pandemic,48,-0.184
2020-02-27 10:30:00,#stayhome,54,-0.015
2020-02-27 11:00:00,#corona,130,-0.238
2020-02-27 11:00:00,#covid19,95,-0.335
2020-02-27 11:00:00,#wuhan,54,-0.187
2020-02-27 11:00:00,#pandemic,44,-0.09
2020-02-27 11:00:00,#stayhome,26,0.178
2020-02-27 11:30:00,#corona,120,-0.305
2020-02-27 11:30:00,#covid19,91,-0.2
2020-02-27 11:30:00,#wuhan,63,-0.558
